Date,Symbol,rk_parzen,rv5,close_price,,
20151023,.SPX,4.77E-05,7.24E-05,2075.33,,
20151026,.SPX,1.41E-05,1.46E-05,2070.94,,
20151027,.SPX,2.74E-05,3.44E-05,2066.01,,
20151028,.SPX,8.61E-05,8.85E-05,2090.15,,
20151029,.SPX,1.58E-05,2.32E-05,2089.38,,
20151030,.SPX,2.44E-05,2.85E-05,2079.51,,
20151102,.SPX,2.01E-05,1.77E-05,2103.92,,
20151103,.SPX,1.70E-05,2.34E-05,2109.87,,
20151104,.SPX,3.10E-05,3.77E-05,2102.64,,
20151105,.SPX,4.20E-05,3.41E-05,2100.12,,
20151106,.SPX,6.11E-05,3.64E-05,2099.25,,
20151109,.SPX,5.39E-05,5.80E-05,2078.8,,
20151110,.SPX,2.13E-05,3.02E-05,2082.06,,
20151111,.SPX,2.28E-05,2.24E-05,2074.9,,
20151112,.SPX,6.20E-05,7.63E-05,2046.03,,
20151113,.SPX,5.12E-05,4.45E-05,2023.15,,
20151116,.SPX,5.57E-05,5.12E-05,2053.07,,
20151117,.SPX,5.84E-05,5.66E-05,2050.49,,
20151118,.SPX,4.61E-05,5.04E-05,2083.46,,
20151119,.SPX,1.56E-05,2.16E-05,2081.19,,
20151120,.SPX,2.99E-05,3.24E-05,2089.18,,
20151123,.SPX,1.79E-05,1.88E-05,2086.64,,
20151124,.SPX,4.26E-05,4.27E-05,2089.36,,
20151125,.SPX,6.16E-06,1.02E-05,2089.01,,
20151127,.SPX,6.44E-06,6.17E-06,2090.11,,
20151130,.SPX,1.79E-05,1.96E-05,2081.34,,
20151201,.SPX,5.71E-05,3.87E-05,2102.37,,
20151202,.SPX,3.06E-05,2.70E-05,2079.78,,
20151203,.SPX,8.52E-05,7.11E-05,2050.03,,
20151204,.SPX,9.87E-05,7.14E-05,2091.14,,
20151207,.SPX,5.10E-05,6.57E-05,2077.18,,
20151208,.SPX,0.000117993,0.000164325,2063.785,,
20151209,.SPX,0.000120503,0.000110013,2047.81,,
20151210,.SPX,6.91E-05,6.10E-05,2052.31,,
20151211,.SPX,0.000136477,0.000134694,2012.32,,
20151214,.SPX,9.82E-05,0.000153609,2022.32,,
20151215,.SPX,0.00012972,0.000112569,2043.47,,
20151216,.SPX,9.59E-05,9.67E-05,2072.85,,
20151217,.SPX,9.07E-05,8.19E-05,2042.04,,
20151218,.SPX,0.000100323,9.51E-05,2005.48,,
20151221,.SPX,7.34E-05,7.87E-05,2021.09,,
20151222,.SPX,3.21E-05,4.10E-05,2039.11,,
20151223,.SPX,2.99E-05,3.41E-05,2064.28,,
20151224,.SPX,1.13E-05,7.85E-06,2060.99,,
20151228,.SPX,2.45E-05,2.97E-05,2056.6,,
20151229,.SPX,3.81E-05,4.03E-05,2078.15,,
20151230,.SPX,1.88E-05,1.91E-05,2063.24,,
20151231,.SPX,5.46E-05,4.82E-05,2043.65,,
20160104,.SPX,0.000343292,0.000347597,2012.98,,
20160105,.SPX,7.11E-05,6.26E-05,2016.93,,
20160106,.SPX,0.000166985,0.000198655,1990.615,,
20160107,.SPX,0.000223609,0.000391137,1943.15,,
20160108,.SPX,0.000127439,0.000176278,1921.74,,
20160111,.SPX,0.000201371,0.000162105,1923.42,,
20160112,.SPX,0.000182076,0.000178491,1938.84,,
20160113,.SPX,0.000146178,0.0002054,1890.28,,
20160114,.SPX,0.00026121,0.000162903,1921.31,,
20160115,.SPX,0.000433428,0.00050904,1880.1,,
20160119,.SPX,0.00016556,0.000199951,1881.34,,
20160120,.SPX,0.000555076,0.000436934,1859.48,,
20160121,.SPX,0.000238975,0.000297231,1868.72,,
20160122,.SPX,0.000147954,0.000182307,1906.82,,
20160125,.SPX,7.52E-05,7.11E-05,1877.38,,
20160126,.SPX,8.30E-05,0.000128348,1903.61,,
20160127,.SPX,0.000205816,0.000201177,1883.12,,
20160128,.SPX,0.000203185,0.00025759,1893.06,,
20160129,.SPX,9.87E-05,7.44E-05,1938.25,,
20160201,.SPX,7.95E-05,0.000122926,1938.85,,
20160202,.SPX,0.000151352,0.000120066,1903.01,,
20160203,.SPX,0.000320442,0.000275962,1912.58,,
20160204,.SPX,0.000146462,0.0001841,1915.38,,
20160205,.SPX,0.000109628,0.000142048,1879.91,,
20160208,.SPX,0.000248282,0.000293488,1853.62,,
20160209,.SPX,0.000207678,0.000297181,1852.52,,
20160210,.SPX,0.000128541,0.000165026,1851.68,,
20160211,.SPX,0.000312952,0.000305049,1828.64,,
20160212,.SPX,9.33E-05,9.70E-05,1864.41,,
20160216,.SPX,8.93E-05,9.25E-05,1895.08,,
20160217,.SPX,6.80E-05,7.35E-05,1926.54,,
20160218,.SPX,3.41E-05,4.35E-05,1917.61,,
20160219,.SPX,5.89E-05,7.01E-05,1917.57,,
20160222,.SPX,8.18E-05,6.74E-05,1945.23,,
20160223,.SPX,5.24E-05,4.97E-05,1921.27,,
20160224,.SPX,0.000180168,0.000186458,1929.57,,
20160225,.SPX,4.86E-05,6.79E-05,1951.75,,
20160226,.SPX,4.65E-05,5.54E-05,1947.89,,
20160229,.SPX,4.84E-05,4.79E-05,1931.82,,
20160301,.SPX,6.41E-05,6.45E-05,1977.97,,
20160302,.SPX,4.95E-05,4.26E-05,1986.15,,
20160303,.SPX,2.85E-05,2.81E-05,1993.36,,
20160304,.SPX,5.35E-05,4.07E-05,1999.61,,
20160307,.SPX,4.46E-05,5.03E-05,2001.57,,
20160308,.SPX,5.18E-05,7.15E-05,1979.44,,
20160309,.SPX,4.02E-05,5.71E-05,1988.96,,
20160310,.SPX,0.00011373,0.000110859,1989.65,,
20160311,.SPX,5.38E-05,6.09E-05,2021.92,,
20160314,.SPX,1.67E-05,1.95E-05,2019.46,,
20160315,.SPX,2.97E-05,3.28E-05,2015.84,,
20160316,.SPX,4.38E-05,7.38E-05,2027.61,,
20160317,.SPX,2.81E-05,2.33E-05,2040.6,,
20160318,.SPX,2.07E-05,2.60E-05,2049.14,,
20160321,.SPX,1.62E-05,1.75E-05,2051.49,,
20160322,.SPX,2.43E-05,2.67E-05,2050.04,,
20160323,.SPX,2.16E-05,2.19E-05,2036.72,,
20160324,.SPX,2.94E-05,3.59E-05,2035.98,,
20160328,.SPX,1.79E-05,1.57E-05,2037.06,,
20160329,.SPX,4.29E-05,3.10E-05,2055.21,,
20160330,.SPX,3.76E-05,3.05E-05,2064.03,,
20160331,.SPX,9.64E-06,1.39E-05,2059.73,,
20160401,.SPX,5.80E-05,5.15E-05,2072.89,,
20160404,.SPX,1.98E-05,1.80E-05,2066,,
20160405,.SPX,6.91E-05,6.34E-05,2045.31,,
20160406,.SPX,3.89E-05,3.07E-05,2066.79,,
20160407,.SPX,5.17E-05,5.98E-05,2042.06,,
20160408,.SPX,4.66E-05,4.64E-05,2047.6,,
20160411,.SPX,4.54E-05,3.77E-05,2042.11,,
20160412,.SPX,4.29E-05,3.77E-05,2061.78,,
20160413,.SPX,2.60E-05,3.37E-05,2082.45,,
20160414,.SPX,9.57E-06,1.63E-05,2082.53,,
20160415,.SPX,6.85E-06,6.11E-06,2080.45,,
20160418,.SPX,2.34E-05,2.09E-05,2094.36,,
20160419,.SPX,2.11E-05,2.00E-05,2100.79,,
20160420,.SPX,1.79E-05,1.54E-05,2102.41,,
20160421,.SPX,1.68E-05,2.39E-05,2091.61,,
20160422,.SPX,2.48E-05,2.23E-05,2091.67,,
20160425,.SPX,1.89E-05,2.17E-05,2087.92,,
20160426,.SPX,1.98E-05,1.72E-05,2091.48,,
20160427,.SPX,3.08E-05,3.06E-05,2095.51,,
20160428,.SPX,4.73E-05,3.65E-05,2076.205,,
20160429,.SPX,6.35E-05,5.23E-05,2065.51,,
20160502,.SPX,1.69E-05,2.31E-05,2081.4,,
20160503,.SPX,5.24E-05,5.19E-05,2063.4,,
20160504,.SPX,4.62E-05,3.55E-05,2051.17,,
20160505,.SPX,2.80E-05,3.41E-05,2050.5,,
20160506,.SPX,3.76E-05,4.30E-05,2057.2,,
20160509,.SPX,2.30E-05,2.19E-05,2058.89,,
20160510,.SPX,2.27E-05,2.06E-05,2084.39,,
20160511,.SPX,2.57E-05,2.24E-05,2064.62,,
20160512,.SPX,4.03E-05,4.74E-05,2064.46,,
20160513,.SPX,3.14E-05,3.36E-05,2046.55,,
20160516,.SPX,2.52E-05,2.01E-05,2066.61,,
20160517,.SPX,4.42E-05,3.56E-05,2046.93,,
20160518,.SPX,0.000112307,9.16E-05,2047.42,,
20160519,.SPX,6.09E-05,6.47E-05,2039.94,,
20160520,.SPX,3.58E-05,2.62E-05,2052.15,,
20160523,.SPX,1.03E-05,1.12E-05,2048.43,,
20160524,.SPX,3.66E-05,2.79E-05,2075.97,,
20160525,.SPX,2.74E-05,2.24E-05,2090.18,,
20160526,.SPX,8.86E-06,1.17E-05,2090.08,,
20160527,.SPX,8.25E-06,8.90E-06,2098.71,,
20160531,.SPX,2.24E-05,1.73E-05,2096.7,,
20160601,.SPX,2.85E-05,2.96E-05,2099.22,,
20160602,.SPX,1.51E-05,1.80E-05,2104.91,,
20160603,.SPX,4.18E-05,3.53E-05,2099.07,,
20160606,.SPX,1.97E-05,1.55E-05,2109.35,,
20160607,.SPX,8.19E-06,6.75E-06,2112.42,,
20160608,.SPX,1.68E-05,1.02E-05,2119.15,,
20160609,.SPX,1.18E-05,1.99E-05,2115.57,,
20160610,.SPX,4.52E-05,3.83E-05,2096.22,,
20160613,.SPX,2.70E-05,2.74E-05,2079.17,,
20160614,.SPX,4.25E-05,3.89E-05,2075.39,,
20160615,.SPX,3.43E-05,2.43E-05,2072.04,,
20160616,.SPX,6.08E-05,5.51E-05,2078.09,,
20160617,.SPX,2.97E-05,2.96E-05,2071.22,,
20160620,.SPX,6.70E-05,7.53E-05,2083.45,,
20160621,.SPX,1.53E-05,2.36E-05,2088.82,,
20160622,.SPX,2.34E-05,2.58E-05,2085.48,,
20160623,.SPX,2.70E-05,3.42E-05,2112.95,,
20160624,.SPX,0.000495492,0.000628418,2037.28,,
20160627,.SPX,0.00015491,0.000128667,2000.6,,
20160628,.SPX,9.36E-05,8.36E-05,2035.91,,
20160629,.SPX,3.52E-05,6.33E-05,2070.5,,
20160630,.SPX,3.77E-05,3.44E-05,2098.93,,
20160701,.SPX,1.80E-05,1.51E-05,2102.62,,
20160705,.SPX,2.77E-05,2.78E-05,2088.23,,
20160706,.SPX,5.20E-05,4.77E-05,2099.61,,
20160707,.SPX,3.22E-05,2.95E-05,2097.7,,
20160708,.SPX,1.98E-05,1.53E-05,2129.38,,
20160711,.SPX,1.64E-05,1.86E-05,2136.94,,
20160712,.SPX,3.03E-05,3.14E-05,2152.05,,
20160713,.SPX,1.33E-05,1.32E-05,2152.21,,
20160714,.SPX,1.70E-05,2.72E-05,2163.5,,
20160715,.SPX,9.97E-06,1.12E-05,2161.39,,
20160718,.SPX,6.70E-06,6.39E-06,2166.77,,
20160719,.SPX,6.43E-06,6.95E-06,2163.79,,
20160720,.SPX,6.84E-06,5.12E-06,2173.11,,
20160721,.SPX,1.30E-05,1.14E-05,2164.99,,
20160722,.SPX,6.88E-06,7.00E-06,2174.75,,
20160725,.SPX,1.15E-05,1.07E-05,2168.54,,
20160726,.SPX,2.64E-05,2.03E-05,2169.15,,
20160727,.SPX,1.83E-05,2.30E-05,2166.98,,
20160728,.SPX,1.81E-05,2.40E-05,2169.94,,
20160729,.SPX,1.66E-05,1.61E-05,2173.28,,
20160801,.SPX,2.26E-05,2.21E-05,2170.68,,
20160802,.SPX,3.00E-05,2.49E-05,2157.09,,
20160803,.SPX,7.32E-06,1.18E-05,2163.42,,
20160804,.SPX,1.27E-05,1.12E-05,2164.37,,
20160805,.SPX,1.27E-05,9.67E-06,2182.36,,
20160808,.SPX,4.19E-06,5.62E-06,2180.77,,
20160809,.SPX,6.43E-06,5.15E-06,2181.67,,
20160810,.SPX,1.35E-05,1.06E-05,2175.52,,
20160811,.SPX,1.29E-05,1.17E-05,2185.75,,
20160812,.SPX,5.08E-06,5.26E-06,2183.78,,
20160815,.SPX,6.17E-06,3.90E-06,2190.16,,
20160816,.SPX,1.44E-05,1.15E-05,2178.26,,
20160817,.SPX,1.83E-05,1.64E-05,2181.93,,
20160818,.SPX,4.96E-06,6.16E-06,2186.82,,
20160819,.SPX,1.86E-05,1.41E-05,2183.65,,
20160822,.SPX,3.04E-05,2.26E-05,2182.7,,
20160823,.SPX,6.25E-06,6.63E-06,2186.91,,
20160824,.SPX,1.15E-05,1.07E-05,2175.76,,
20160825,.SPX,9.65E-06,1.54E-05,2172.73,,
20160826,.SPX,6.73E-05,3.76E-05,2169.36,,
20160829,.SPX,1.28E-05,8.60E-06,2180.42,,
20160830,.SPX,9.93E-06,1.41E-05,2176.14,,
20160831,.SPX,1.39E-05,1.27E-05,2170.76,,
20160901,.SPX,3.93E-05,2.44E-05,2170.61,,
20160902,.SPX,1.45E-05,1.47E-05,2179.93,,
20160906,.SPX,1.17E-05,1.05E-05,2186.5,,
20160907,.SPX,7.05E-06,7.13E-06,2186.14,,
20160908,.SPX,6.24E-06,8.72E-06,2181.14,,
20160909,.SPX,4.83E-05,4.41E-05,2128.19,,
20160912,.SPX,6.51E-05,5.66E-05,2159.06,,
20160913,.SPX,7.73E-05,9.40E-05,2127.02,,
20160914,.SPX,4.40E-05,4.68E-05,2125.85,,
20160915,.SPX,3.56E-05,3.73E-05,2147.27,,
20160916,.SPX,4.14E-05,4.27E-05,2138.93,,
20160919,.SPX,3.59E-05,2.43E-05,2139.15,,
20160920,.SPX,1.37E-05,1.95E-05,2139.58,,
20160921,.SPX,4.98E-05,3.35E-05,2163.04,,
20160922,.SPX,2.15E-05,2.32E-05,2176.91,,
20160923,.SPX,7.95E-06,1.17E-05,2164.92,,
20160926,.SPX,2.22E-05,2.11E-05,2146.51,,
20160927,.SPX,2.57E-05,2.46E-05,2159.89,,
20160928,.SPX,2.76E-05,2.30E-05,2171.12,,
20160929,.SPX,7.96E-05,4.63E-05,2151.12,,
20160930,.SPX,2.59E-05,3.08E-05,2168,,
20161003,.SPX,1.54E-05,1.71E-05,2160.97,,
20161004,.SPX,4.99E-05,4.33E-05,2150.54,,
20161005,.SPX,9.98E-06,1.23E-05,2159.625,,
20161006,.SPX,1.68E-05,1.77E-05,2160.8,,
20161007,.SPX,4.10E-05,2.74E-05,2153.74,,
20161010,.SPX,1.40E-05,1.12E-05,2163.64,,
20161011,.SPX,4.19E-05,3.42E-05,2136.96,,
20161012,.SPX,1.75E-05,1.83E-05,2139.4,,
20161013,.SPX,4.83E-05,3.79E-05,2132.74,,
20161014,.SPX,3.16E-05,2.65E-05,2133.19,,
20161017,.SPX,1.23E-05,1.51E-05,2126.44,,
20161018,.SPX,8.98E-06,1.67E-05,2139.42,,
20161019,.SPX,9.06E-06,7.42E-06,2144.38,,
20161020,.SPX,3.54E-05,2.93E-05,2141.18,,
20161021,.SPX,1.84E-05,2.03E-05,2141,,
20161024,.SPX,8.78E-06,1.15E-05,2150.88,,
